,year,cluster_reviewed,5/15,5/16,5/17,5/18,5/19,5/20,5/21,5/22,5/23,5/24,5/25,5/26,reviewer,notes
98,2023,RK602_2,1,1,,,1,1,1,,,,,,SL,
98,2024,RK602_2,,,1,,1,,,1,,1,1,1,SL,
99,2021,RK603_0,1,,1,,,,1,1,1,1,,,SL,
99,2022,RK603_0,,,,,,,,,,,,,SL,
99,2023,RK603_0,,,,,,,,,,,,,SL,
99,2024,RK603_0,,,,,,,,,,,,,SL,
100,2021,RK603_1,1,1,1,1,1,1,1,1,1,1,,1,SL,
100,2022,RK603_1,1,,,1,1,1,1,1,1,1,1,1,SL,
100,2023,RK603_1,,,,,,,1,1,1,,,,SL,
100,2024,RK603_1,,,,,,,,,,1,,,SL,
101,2021,RK603_2,,,,,,,,,,,,,SL,
101,2022,RK603_2,,,1,,,,1,,1,,1,,SL,
101,2023,RK603_2,,,,,,,,,,,,,SL,
101,2024,RK603_2,,,,,,,,,,,,,SL,
102,2021,RK603_3,,,,,,,,,,,,,SL,
102,2022,RK603_3,1,1,1,1,1,1,1,1,1,1,1,1,SL,
102,2023,RK603_3,1,,1,1,1,1,1,1,1,1,1,1,SL,
102,2024,RK603_3,,,,,,1,,,1,,,,SL,
103,2021,RK603_5,,,,,,,,,,,,,SL,
103,2022,RK603_5,,,,,,,,,,,,,SL,
103,2023,RK603_5,,,,,,,,,,,,,SL,
103,2024,RK603_5,1,1,1,1,1,1,1,1,1,1,1,1,SL,
104,2021,RK604_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
104,2022,RK604_0,1,1,1,1,1,1,1,1,1,1,,,SL,
104,2023,RK604_0,1,1,1,,1,1,1,1,1,1,1,1,SL,
104,2024,RK604_0,,,,1,,,1,1,1,1,1,1,SL,
105,2021,RK604_2,,,,,,,,,,,,,SL,
105,2022,RK604_2,1,,1,,,,1,,,,,,SL,
105,2023,RK604_2,1,1,1,,,,,,1,,,,SL,
105,2024,RK604_2,,,,,,,,,,,,,SL,
106,2021,RK606_0,1,,,,,,,,,,,,SL,
106,2022,RK606_0,,,,,,,,,,,,,SL,
106,2023,RK606_0,,,,,,,,,,,,,SL,
106,2024,RK606_0,,,,,,,,,,,,,SL,
107,2021,RK606_1,1,1,1,1,1,1,1,1,1,1,,1,SL,
107,2022,RK606_1,1,1,1,1,1,1,1,,1,1,1,1,SL,
107,2023,RK606_1,,,,,,,,,,,,,SL,
107,2024,RK606_1,,,,,,,,,,,,,SL,
